Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,Cpu_Brand,SSD,HDD,Flash_Storage,Gpu_brand,OS,Price
Apple,Ultrabook,8,1.37,0,1,232.22107401985488,Intel Core i5,128,0,0,Intel,Mac,121067
Apple,Ultrabook,8,1.34,0,0,130.62435413616836,Intel Core i5,0,0,128,Intel,Mac,81237
HP,Notebook,8,1.86,0,0,146.86047800548656,Intel Core i5,256,0,0,Intel,Other/No OS/Linux,51962
Apple,Ultrabook,16,1.83,0,1,226.4155471693585,Intel Core i7,512,0,0,AMD,Mac,229309
Apple,Ultrabook,8,1.37,0,1,232.22107401985488,Intel Core i5,256,0,0,Intel,Mac,162991
Acer,Notebook,4,2.1,0,0,104.47285665558198,AMD Processor,0,500,0,AMD,Windows,36148
Apple,Ultrabook,16,2.04,0,1,226.4155471693585,Intel Core i7,0,0,256,Intel,Other/No OS/Linux,193389
Apple,Ultrabook,8,1.34,0,0,130.62435413616836,Intel Core i5,0,0,256,Intel,Mac,104711
Asus,Ultrabook,16,1.3,0,0,157.3505121487356,Intel Core i7,512,0,0,Nvidia,Windows,135103
Acer,Ultrabook,8,1.6,0,1,157.3505121487356,Intel Core i5,256,0,0,Intel,Windows,69584
HP,Notebook,4,1.86,0,0,104.47285665558198,Intel Core i5,0,500,0,Intel,Other/No OS/Linux,35596
HP,Notebook,4,1.86,0,0,146.86047800548656,Other Intel Processor,0,500,0,Intel,Other/No OS/Linux,31176
Apple,Ultrabook,16,1.83,0,1,226.4155471693585,Intel Core i7,256,0,0,AMD,Mac,220500
Dell,Notebook,4,2.2,0,0,146.86047800548656,Other Intel Processor,256,0,0,AMD,Windows,45085
Apple,Ultrabook,8,0.92,0,1,226.41554716935852,Other Intel Processor,256,0,0,Intel,Mac,114083
Apple,Ultrabook,8,1.37,0,1,232.22107401985488,Intel Core i5,256,0,0,Intel,Mac,137231
Dell,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i7,256,0,0,AMD,Windows,67325
Apple,Ultrabook,16,1.83,0,1,226.4155471693585,Intel Core i7,512,0,0,AMD,Mac,258277
Lenovo,Notebook,8,2.2,0,0,146.86047800548656,Other Intel Processor,0,0,0,Nvidia,Other/No OS/Linux,45094
Dell,Ultrabook,8,1.22,0,1,169.45439769863833,Intel Core i5,128,0,0,Intel,Windows,88472
Asus,Netbook,2,0.98,0,0,142.46298634852087,Other Intel Processor,0,0,32,Intel,Windows,17342
Lenovo,Gaming,8,2.5,0,1,146.86047800548656,Intel Core i5,128,0,0,Nvidia,Windows,90279
HP,Notebook,4,1.86,0,0,104.47285665558198,AMD Processor,0,500,0,AMD,Other/No OS/Linux,23315
Dell,2 in 1 Convertible,8,1.62,0,0,169.45439769863833,Intel Core i5,256,0,0,Intel,Windows,74013
HP,Ultrabook,8,1.91,0,0,146.86047800548656,Intel Core i7,256,0,0,Intel,Windows,59553
Dell,Notebook,4,2.3,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Windows,37832
Apple,Ultrabook,8,1.35,0,0,130.62435413616836,Intel Core i5,0,0,128,Intel,Other/No OS/Linux,99316
Dell,Notebook,8,2.2,0,0,146.86047800548656,Intel Core i5,256,0,0,AMD,Windows,72296
Dell,Ultrabook,8,1.88,0,0,146.86047800548656,Intel Core i7,256,0,0,Intel,Windows,117300
HP,Notebook,8,2.5,0,0,129.58277471072344,Intel Core i5,0,0,0,Nvidia,Windows,80971
Chuwi,Notebook,4,1.89,0,0,146.86047800548656,Other Intel Processor,0,0,64,Intel,Windows,22139
Asus,Notebook,2,1.65,0,0,111.93520355955211,AMD Processor,0,0,32,AMD,Windows,17983
HP,Notebook,4,2.71,0,0,129.58277471072344,AMD Processor,0,500,0,AMD,Windows,39672
Dell,Ultrabook,16,1.2,0,0,282.4239961643972,Intel Core i7,512,0,0,Intel,Windows,168901
Apple,Ultrabook,8,1.35,0,0,130.62435413616836,Intel Core i5,0,0,256,Intel,Other/No OS/Linux,90189
Lenovo,Notebook,4,1.44,0,0,111.93520355955211,Other Intel Processor,0,0,64,Intel,Windows,22502
Acer,Notebook,4,2.1,0,0,104.47285665558198,Other Intel Processor,0,0,0,Intel,Other/No OS/Linux,33165
